-66.755   0.0364341   0.0739010   0.0810008   0.0772312   0.0722670   0.0651891   0.0631139   0.0583329   0.0520471   0.0459812   0.0392915   0.0358802   0.0296863   0.0231006   0.0177910   0.0132938   0.0064843   0.0022608  
-66.625   0.0376879   0.0768367   0.0843877   0.0804802   0.0753683   0.0680540   0.0657839   0.0607461   0.0542166   0.0479217   0.0409450   0.0373295   0.0309487   0.0240610   0.0185330   0.0138251   0.0067948   0.0023304  
-66.495   0.0389184   0.0797476   0.0877665   0.0837245   0.0784688   0.0709222   0.0684493   0.0631526   0.0563786   0.0498594   0.0425952   0.0387756   0.0322080   0.0250214   0.0192748   0.0143581   0.0071043   0.0024017  
-66.365   0.0401260   0.0826350   0.0911376   0.0869645   0.0815685   0.0737936   0.0711103   0.0655536   0.0585341   0.0517948   0.0442421   0.0402191   0.0334645   0.0259817   0.0200162   0.0148929   0.0074122   0.0024746  
-66.235   0.0413112   0.0855003   0.0945017   0.0902006   0.0846677   0.0766683   0.0737676   0.0679506   0.0606845   0.0537287   0.0458858   0.0416610   0.0347189   0.0269419   0.0207574   0.0154293   0.0077179   0.0025489  
-66.105   0.0424744   0.0883453   0.0978598   0.0934337   0.0877670   0.0795468   0.0764216   0.0703448   0.0628312   0.0556618   0.0475265   0.0431020   0.0359718   0.0279016   0.0214984   0.0159669   0.0080210   0.0026243  
-65.975   0.0436156   0.0911720   0.1012130   0.0966647   0.0908671   0.0824300   0.0790732   0.0727377   0.0649758   0.0575951   0.0491646   0.0445427   0.0372240   0.0288609   0.0222394   0.0165057   0.0083213   0.0027003  
-65.845   0.0447350   0.0939823   0.1045624   0.0998949   0.0939692   0.0853193   0.0817232   0.0751303   0.0671201   0.0595294   0.0508007   0.0459838   0.0384767   0.0298195   0.0229805   0.0170450   0.0086186   0.0027766  
-65.715   0.0458323   0.0967779   0.1079094   0.1031256   0.0970741   0.0882163   0.0843726   0.0775239   0.0692655   0.0614657   0.0524355   0.0474257   0.0397305   0.0307773   0.0237221   0.0175846   0.0089129   0.0028526  
-65.585   0.0469069   0.0995607   0.1112551   0.1063585   0.1001832   0.0911229   0.0870224   0.0799194   0.0714137   0.0634051   0.0540697   0.0488685   0.0409865   0.0317342   0.0244643   0.0181241   0.0092045   0.0029278  
-65.455   0.0479583   0.1023320   0.1146006   0.1095949   0.1032975   0.0940415   0.0896733   0.0823175   0.0735659   0.0653484   0.0557041   0.0503125   0.0422456   0.0326901   0.0252075   0.0186634   0.0094935   0.0030016  
-65.325   0.0489852   0.1050927   0.1179469   0.1128366   0.1064182   0.0969744   0.0923263   0.0847186   0.0757234   0.0672968   0.0573393   0.0517575   0.0435083   0.0336449   0.0259520   0.0192020   0.0097806   0.0030736  
-65.195   0.0499866   0.1078438   0.1212946   0.1160847   0.1095465   0.0999241   0.0949822   0.0871227   0.0778870   0.0692507   0.0589764   0.0532034   0.0447757   0.0345985   0.0266980   0.0197398   0.0100661   0.0031432  
-65.065   0.0509607   0.1105852   0.1246441   0.1193408   0.1126832   0.1028935   0.0976416   0.0895300   0.0800573   0.0712110   0.0606157   0.0546497   0.0460479   0.0355508   0.0274460   0.0202767   0.0103507   0.0032099  
-64.935   0.0519058   0.1133165   0.1279956   0.1226060   0.1158290   0.1058848   0.1003050   0.0919398   0.0822346   0.0731782   0.0622579   0.0560959   0.0473256   0.0365017   0.0281961   0.0208126   0.0106350   0.0032734  
-64.805   0.0528202   0.1160372   0.1313488   0.1258807   0.1189846   0.1089005   0.1029726   0.0943513   0.0844185   0.0751524   0.0639037   0.0575415   0.0486089   0.0374511   0.0289488   0.0213475   0.0109193   0.0033334  
-64.675   0.0537016   0.1187455   0.1347029   0.1291658   0.1221501   0.1119424   0.1056446   0.0967641   0.0866086   0.0771340   0.0655532   0.0589855   0.0498978   0.0383990   0.0297040   0.0218815   0.0112046   0.0033896  
-64.545   0.0545485   0.1214397   0.1380569   0.1324610   0.1253255   0.1150119   0.1083209   0.0991766   0.0888039   0.0791226   0.0672068   0.0604274   0.0511923   0.0393454   0.0304621   0.0224147   0.0114910   0.0034422  
-64.415   0.0553592   0.1241171   0.1414092   0.1357660   0.1285104   0.1181096   0.1110010   0.1015881   0.0910032   0.0811181   0.0688642   0.0618663   0.0524916   0.0402901   0.0312231   0.0229472   0.0117792   0.0034910  
-64.285   0.0561325   0.1267753   0.1447581   0.1390798   0.1317042   0.1212353   0.1136844   0.1039972   0.0932050   0.0831198   0.0705255   0.0633016   0.0537954   0.0412333   0.0319870   0.0234793   0.0120693   0.0035364  
-64.155   0.0568679   0.1294111   0.1481014   0.1424008   0.1349059   0.1243878   0.1163705   0.1064027   0.0954076   0.0851269   0.0721907   0.0647329   0.0551031   0.0421750   0.0327536   0.0240109   0.0123613   0.0035786  
-64.025   0.0575653   0.1320213   0.1514369   0.1457275   0.1381141   0.1275648   0.1190584   0.1088040   0.0976092   0.0871386   0.0738591   0.0661597   0.0564133   0.0431152   0.0335227   0.0245423   0.0126555   0.0036181  
